repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,why_v2,what,who,who_sub,extended_action,why_refine
stern,.github/workflows/ci.yaml,build,<step_1>,2021-09-11 12:10,updating_parameter,updating_parameter,252.0492361,a384d35f36e43953ac3c6af5a20ffc97cb8205cf,f403cf387c4ac99e5028f4e1e5193d90a0d112b4,,upgrade_parameter_version,,,,upgrade,update_dependency
core-js,.github/workflows/build+test.yml,test,<step_2>,2021-02-17 23:38,cache_version_update,updating_parameter,0,6459055bd733b1e8ffff4c85112056dc67c97b5a,6459055bd733b1e8ffff4c85112056dc67c97b5a,,non_automated_update,,,,update,others
DeepSpeech,.github/workflows/macOS-amd64.yml,build,<step_6>,2021-04-06 9:07,removing_parameter,updating_parameter,0,7dec4cdb2142b930e01249c43568744311142109,7dec4cdb2142b930e01249c43568744311142109,,non_automated_update,,,,update,others
django-cookie-law,.github/workflows/tests.yaml,test,Setup Pip Cache,2022-01-06 14:58,enable_cache,updating_parameter,0.011296296,ee0614a89e6675db055c9eb901ccae829a185c32,203c10f92126fdf062bc6b9a3dbb06d3e8530ca6,,fix_caching_issue,,,,update,improve_cache
bootstrapcdn,.github/workflows/test-cdn.yml,build,Set up npm cache,2020-06-04 6:38,cache_version_update,updating_parameter,224.295162,d5aa6737946e2ca4bb30d7fe86d65f6757ec4dce,f5db4a931a279dc561dba65101bad6e46901f458,,non_automated_update,,,,update,others
got-your-back,.github/workflows/build.yml,build,Cache the build,2024-01-30 18:05,updating_parameter,updating_parameter,2.21037037,fe195be5fde636c4bdf5a96442d4ea5e836d1ccb,fa953a4f0fd002cdaeaea383f163f0b34f35bdee,,non_automated_update,,,,update,others
rails_event_store,.github/workflows/rails_event_store_active_record.yml,test,<step_1>,2020-12-09 2:10,updating_parameter,updating_parameter,0.342523148,e9311090fda5c587c0a9272c798fc498bca0c65b,07e003a46069c3290093430895b8bb9e4071c02c,,non_automated_update,,,,update,improve_cache
AboutLibraries,.github/workflows/ci.yml,build,Checkout Gradle Build Cache,2024-02-17 12:05,removing_cache,updating_parameter,321.983125,1d461943f73a555d5b479cc7a0f1b48b4b75fd4d,c0e089722aa5ca6fea3d7c96be4e2c837d23ea23,,upgrade_parameter_version,,,,upgrade,clean_up
stern,.github/workflows/ci.yaml,build,<step_3>,2023-02-27 0:58,removing_cache,updating_parameter,32.55864583,74952fd848d5e649d971de2a416894e9500223ea,23feff7ef22925c391673a062ae314b2fcd07676,,non_automated_update,,,,update,others
imgpkg,.github/workflows/gh-test.yml,test,Set up Go 1.x,2024-05-17 1:53,cache_version_update,updating_parameter,34.54335648,d08091809cab6e93af8fdf258d852f2e096a4ee6,a44f76dc54503d58653d7068a97b61821d2dc135,,non_automated_update,,,,update,others
crocoddyl,.github/workflows/ros2-ci.yaml,integration,<step_1>,2023-08-04 15:34,enable_cache,updating_parameter,300.8809838,01076969a742cdb33d758f05a00d05e66fe17217,da92f67394c07c987458a8cb24bc0e33edd64227,,non_automated_update,,,,update,others
rails_event_store,.github/workflows/ruby_event_store-sidekiq_scheduler.yml,sync,<step_2>,2021-01-23 10:59,enable_cache,updating_parameter,667.5431829,b8456361f27a7895044a75f05fe3028147daef17,fae3ca9889e4de8adb85278d8135c20bd85e83b1,,fix_caching_issue,,,,update,others
imgpkg,.github/workflows/gh-test-external-registry.yml,test,Set up Go 1.x,2021-09-30 21:16,updating_parameter,updating_parameter,216.7507986,a9646a3992a2c374e98947c0b6be4b280fc77568,449c47672dab2d39f30e2012b839b19fa3f9f08d,,upgrade_parameter_version,,,,upgrade,update_dependency
got-your-back,.github/workflows/build.yml,build,Cache the build,2022-09-26 17:57,updating_parameter,updating_parameter,10.30930556,5ced78bb7fe50074d22930bd81034a3a3249fd2c,2d84003679e8ac83c9cacb03aafc74238536d174,,non_automated_update,,,,update,update_dependency
kilo,.github/workflows/ci.yml,lint,Set up Go,2021-06-14 11:42,updating_parameter,updating_parameter,110.8118403,e513e6ca59c52dedc939e76089deea74bb63c04e,f90288133d5543398d032913a7d558960ccf2ad0,,upgrade_parameter_version,,,,upgrade,update_dependency
imgpkg,.github/workflows/gh-test.yml,test,Set up Go 1.x,2021-10-11 17:57,adding_cache,updating_parameter,205.8889468,e31205706f52783d9bf10febbed35109e3a73892,449c47672dab2d39f30e2012b839b19fa3f9f08d,,upgrade_parameter_version,,,,upgrade,update_dependency
hcloud-cloud-controller-manager,.github/workflows/ci.yml,lint,<step_1>,2024-04-25 9:48,updating_parameter,updating_parameter,35.98885417,25985b901989598f0f1d56449e31812a42304595,77438db86dd32a2638377751f3e1e73272b1704e,,non_automated_update,,,,update,improve_cache
