owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
Anapher/Strive,Strive,C#,,213,55,9,2,725,2020-10-02 10:48:48+02:00,2022-02-18 12:50:09+01:00,0,6,2020-10-03T16:22:30Z,2023-02-17T02:15:51Z,Apache License 2.0,False,False
gatsbyjs/wp-gatsby,wp-gatsby,PHP,,169,44,19,20,286,2020-05-14 17:51:13-07:00,2023-06-30 09:47:23-07:00,106,73,2020-05-14T23:21:42Z,2023-09-29T20:48:52Z,Other,False,False
jflex-de/jflex,jflex,Java,"bazel-rules, cup, dfa, dfa-minimization, flex, grammar, java, lexer, lexer-generator, lexical-analyzer, maven-plugin, nfa, parsing, regexp, scanner, scanner-generator, tokenizer, yacc",608,117,22,27,2110,2003-01-07 15:30:21+00:00,2025-01-02 09:24:42+11:00,769,307,2015-02-15T05:33:03Z,2025-01-01T22:25:36Z,Other,False,False
ebkr/r2modmanPlus,r2modmanPlus,TypeScript,"content-warning, core-keeper, dyson-sphere-program, for-the-king, gtfo, h3vr, lethal-company, mechanica, mod-manager, modding, muck, northstar, outward, risk-of-rain-2, rounds, subnautica, talespire, titanfall-2, valheim",1630,227,10,42,2620,2019-11-24 10:58:12+00:00,2025-05-15 15:08:01+01:00,947,437,2019-11-24T10:58:12Z,2025-07-07T12:41:03Z,MIT License,False,False
tw-in-js/twind,twind,JavaScript,"css, css-in-js, tailwind, tailwind-in-js, tailwindcss",3881,106,16,21,786,2022-01-08 00:18:52+01:00,2025-05-11 04:10:28+00:00,161,237,2020-12-05T17:59:21Z,2025-07-06T04:18:13Z,MIT License,False,False
PatchworkMC/patchwork-api,patchwork-api,Java,hacktoberfest,282,49,27,33,535,2019-12-11 18:35:30-08:00,2024-06-02 21:17:37-05:00,173,38,2019-12-12T23:45:49Z,2024-06-03T02:17:38Z,GNU Lesser General Public License v2.1,True,False
ralliejs/rallie,rallie,TypeScript,"frontend-web, javascript, micro-frontend, micro-frontend-architecture, microfrontends, module-federation, react, vue",299,25,3,6,340,2019-12-02 23:17:33+08:00,2025-03-02 14:18:39+08:00,35,9,2019-12-02T15:17:32Z,2025-03-02T06:20:00Z,MIT License,False,False
RailsEventStore/rails_event_store,rails_event_store,Ruby,"aggregate-root, cqrs, cqrs-es, ddd, domain-driven-design, event-driven, event-driven-architecture, event-sourcing, rails, ruby",1464,125,34,90,7564,2015-04-01 00:51:35+02:00,2025-05-15 20:07:44+02:00,1241,495,2015-03-31T22:02:32Z,2025-07-09T19:22:25Z,MIT License,False,False
serenity-bdd/serenity-cucumber-starter,serenity-cucumber-starter,Java,,195,309,22,6,211,2017-09-02 15:26:54+01:00,2025-04-16 08:55:16+01:00,12,50,2017-09-02T14:26:53Z,2025-04-16T07:55:17Z,Apache License 2.0,False,False
mediathekview/MediathekView,MediathekView,Java,"hacktoberfest, mediathekview, mediathekview-das-programm",922,100,46,29,5420,2012-02-09 19:12:26+01:00,2025-05-15 23:21:48+02:00,162,581,2014-08-16T13:55:41Z,2025-07-08T14:49:07Z,GNU General Public License v3.0,False,False
